2025-09-28 13:19:25.468 +03:00 [INF] Notification background service running...
2025-09-28 13:20:25.296 +03:00 [INF] Lottery draw service running...
2025-09-28 13:20:25.479 +03:00 [INF] Notification background service running...
2025-09-28 13:21:25.480 +03:00 [INF] Notification background service running...
2025-09-28 13:22:25.480 +03:00 [INF] Notification background service running...
2025-09-28 13:23:25.489 +03:00 [INF] Notification background service running...
2025-09-28 13:24:25.493 +03:00 [INF] Notification background service running...
2025-09-28 13:25:25.299 +03:00 [INF] Lottery draw service running...
2025-09-28 13:25:25.497 +03:00 [INF] Notification background service running...
2025-09-28 13:26:25.503 +03:00 [INF] Notification background service running...
2025-09-28 13:27:25.504 +03:00 [INF] Notification background service running...
2025-09-28 13:28:25.508 +03:00 [INF] Notification background service running...
2025-09-28 13:29:25.515 +03:00 [INF] Notification background service running...
2025-09-28 13:30:25.301 +03:00 [INF] Lottery draw service running...
2025-09-28 13:30:25.520 +03:00 [INF] Notification background service running...
2025-09-28 13:31:25.522 +03:00 [INF] Notification background service running...
2025-09-28 13:32:25.526 +03:00 [INF] Notification background service running...
2025-09-28 13:33:25.541 +03:00 [INF] Notification background service running...
2025-09-28 13:34:25.544 +03:00 [INF] Notification background service running...
2025-09-28 13:35:25.307 +03:00 [INF] Lottery draw service running...
2025-09-28 13:35:25.545 +03:00 [INF] Notification background service running...
2025-09-28 13:36:25.549 +03:00 [INF] Notification background service running...
2025-09-28 13:37:25.550 +03:00 [INF] Notification background service running...
2025-09-28 13:38:25.565 +03:00 [INF] Notification background service running...
2025-09-28 13:39:25.568 +03:00 [INF] Notification background service running...
2025-09-28 13:40:25.318 +03:00 [INF] Lottery draw service running...
2025-09-28 13:40:25.573 +03:00 [INF] Notification background service running...
2025-09-28 13:41:25.574 +03:00 [INF] Notification background service running...
2025-09-28 13:42:25.578 +03:00 [INF] Notification background service running...
2025-09-28 13:43:25.579 +03:00 [INF] Notification background service running...
2025-09-28 13:44:25.579 +03:00 [INF] Notification background service running...
2025-09-28 13:45:25.325 +03:00 [INF] Lottery draw service running...
2025-09-28 13:45:25.582 +03:00 [INF] Notification background service running...
2025-09-28 13:46:25.583 +03:00 [INF] Notification background service running...
2025-09-28 13:47:25.587 +03:00 [INF] Notification background service running...
2025-09-28 13:48:25.594 +03:00 [INF] Notification background service running...
2025-09-28 13:48:26.405 +03:00 [INF] Request 849c7ef1 started: GET /api/v1/translations/pl from ::1
2025-09-28 13:48:26.599 +03:00 [INF] Request 849c7ef1 completed: GET /api/v1/translations/pl - 200 in 194ms
2025-09-28 13:48:26.760 +03:00 [INF] Request 49e68f27 started: GET /api/v1/translations/languages from ::1
2025-09-28 13:48:26.883 +03:00 [INF] Request 49e68f27 completed: GET /api/v1/translations/languages - 200 in 122ms
2025-09-28 15:56:38.717 +03:00 [INF] Notification background service running...
